Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Population, total",SP.POP.TOTL,Mauritania,MRT,2006027,2695003,3742959,3843174,3946220,4051890,4160015,4270712,4383849,4498604,4614974,4736139
"Population, total",SP.POP.TOTL,Afghanistan,AFG,10694796,19542982,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2775634
"Population, total",SP.POP.TOTL,Algeria,DZA,25518074,30774621,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
"Population, total",SP.POP.TOTL,American Samoa,ASM,47818,58230,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
"Population, total",SP.POP.TOTL,Andorra,AND,53569,66097,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824
"Population, total",SP.POP.TOTL,Angola,AGO,11828638,16394062,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,63328,75055,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763
"Population, total",SP.POP.TOTL,Argentina,ARG,32637657,37070774,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
"Population, total",SP.POP.TOTL,Armenia,ARM,3556539,3168523,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
"Population, total",SP.POP.TOTL,Aruba,ABW,65712,89101,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445
"Population, total",SP.POP.TOTL,Australia,AUS,17065128,19028802,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,25978935
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9042528
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10175016
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,270679,325014,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
"Population, total",SP.POP.TOTL,Bahrain,BHR,517418,711442,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
"Population, total",SP.POP.TOTL,Bangladesh,BGD,107147651,129193327,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372
"Population, total",SP.POP.TOTL,Barbados,BRB,258868,264657,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9208701
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952,11669446
"Population, total",SP.POP.TOTL,Belize,BLZ,182589,240406,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272
"Population, total",SP.POP.TOTL,Benin,BEN,5133419,6998023,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,65001,65138,65237,64554,63873,63918,63911,63893,63764,63532
"Population, total",SP.POP.TOTL,Bhutan,BTN,558442,587207,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455
"Population, total",SP.POP.TOTL,Bolivia,BOL,7096194,8592656,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4494310,4179350,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526
"Population, total",SP.POP.TOTL,Botswana,BWA,1341474,1726985,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296
"Population, total",SP.POP.TOTL,Brazil,BRA,150706446,175873720,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,15617,20104,28657,28971,29366,29739,30060,30335,30610,30910,31122,31305
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,261928,333926,411702,416656,421437,425994,430276,434274,438048,441725,445373,449002
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6465097
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,9131361,11882888,17636408,18169842,18718019,19275498,19835858,20392723,20951639,21522626,22100683,22673762
"Population, total",SP.POP.TOTL,Burundi,BDI,5483793,6307659,10149577,10494913,10727148,10903327,11155593,11493472,11874838,12220227,12551213,12889576
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,364563,458251,539940,546076,552166,558394,564954,571202,577030,582640,587925,593149
"Population, total",SP.POP.TOTL,Cambodia,KHM,8910808,12118841,14999683,15210817,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842
"Population, total",SP.POP.TOTL,Cameroon,CMR,11430520,15091594,21632850,22299585,23012646,23711630,24393181,25076747,25782341,26491087,27198628,27914536
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,30685730,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38007166,38226498,38929902
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,26027,39658,58212,59559,60911,62255,63581,64884,66134,67311,68136,68706
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2809221,3759170,4802428,4798734,4819333,4904177,4996741,5094780,5209324,5343020,5457154,5579144
"Population, total",SP.POP.TOTL,Chad,TCD,5827069,8259137,13216766,13697126,14140274,14592585,15085884,15604210,16126866,16644701,17179740,17723315
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140601,145306,159794,160912,162190,163721,165215,167259,169410,171113,172683,174079
"Population, total",SP.POP.TOTL,Chile,CHL,13342868,15351799,17509925,17687108,17870124,18083879,18368577,18701450,19039485,19300315,19493184,19603733
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000
"Population, total",SP.POP.TOTL,Colombia,COL,32601393,39215135,46237930,46677947,47119728,47625955,48351671,49276961,50187406,50930662,51516562,51874024
"Population, total",SP.POP.TOTL,Comoros,COM,431119,536758,699393,714612,730216,746232,761664,776313,790986,806166,821625,836774
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,35987541,48616317,73460021,76035588,78656904,81430977,84283273,87087355,89906890,92853164,95894118,99010212
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2385435,3134030,4828066,4944861,5064386,5186824,5312340,5441062,5570733,5702174,5835806,5970424
"Population, total",SP.POP.TOTL,Costa Rica,CRI,3158253,3979193,4791535,4844288,4895242,4945205,4993842,5040734,5084532,5123105,5153957,5180829
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,11910540,16799670,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249,28160542
"Population, total",SP.POP.TOTL,Croatia,HRV,4777368,4468302,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3879000,3854000
"Population, total",SP.POP.TOTL,Cuba,CUB,10626680,11105791,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372,11212191
"Population, total",SP.POP.TOTL,Curacao,CUW,145400,133860,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996
"Population, total",SP.POP.TOTL,Cyprus,CYP,788500,948237,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188,1251488
